YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,TotalBsmtSF,GrLivArea,GarageArea,WoodDeckSF
1961,1961,0.0,6.150602768446279,6.78332520060396,896,730.0,140
1958,1958,108.0,6.828712071641684,7.1929342212158,1329,312.0,393
1997,1998,0.0,6.674561391814426,6.834108738813838,1629,482.0,212
1998,1998,20.0,6.401917196727186,6.831953565565855,1604,470.0,360
1992,1992,0.0,5.575949103146316,7.155396301896734,1280,506.0,0
1993,1994,0.0,0.0,6.638567789166521,1655,440.0,157
1992,2007,0.0,6.841615476477592,7.063903961472068,1187,420.0,483
1998,1998,0.0,0.0,6.672032945461067,1465,393.0,0
1990,1990,0.0,6.45833828334479,7.170888478512505,1341,506.0,192
1970,1970,0.0,6.690842277418564,6.78332520060396,882,525.0,240
1999,1999,0.0,6.9584483932976555,7.2485040723706105,1337,511.0,203
1971,1971,504.0,5.056245805348308,6.182084906716632,987,264.0,275
1971,1971,492.0,5.707110264748875,6.26530121273771,1092,320.0,0
1975,1975,0.0,6.244166900663736,6.752270376141742,1456,440.0,173
1975,1975,0.0,0.0,6.729824070489475,836,308.0,0
2009,2010,162.0,0.0,7.372118028337787,2334,751.0,144
2009,2010,256.0,0.0,7.3427791893318455,1544,868.0,0
2005,2005,615.0,4.709530201312334,7.4377951216719325,1698,730.0,192
2005,2006,240.0,3.367295829986474,7.508238774678663,1822,678.0,0
2003,2004,1095.0,7.2254814727822945,7.954021087278037,2696,958.0,220
2002,2002,232.0,6.361302477572996,7.421775793644647,2250,756.0,238
2006,2006,178.0,3.2188758248682006,7.223295679562314,1370,484.0,120
2005,2005,0.0,0.0,7.1891677384203225,1324,430.0,36
2006,2006,14.0,2.833213344056216,7.044032897274685,1145,437.0,100
2004,2004,0.0,5.7899601708972535,5.953243334287785,1374,400.0,100
2004,2004,0.0,0.0,6.742880635791903,1733,433.0,144
1998,1998,114.0,0.0,7.396335293800808,2475,962.0,23
2005,2006,226.0,0.0,7.3752557780097545,1595,880.0,144
2009,2010,0.0,0.0,7.105786129481271,1218,676.0,0
2005,2005,0.0,7.254884810077338,7.292337176173877,1468,528.0,0
2004,2004,122.0,0.0,6.723832440821209,1659,484.0,144
1920,1950,0.0,0.0,6.705639094860003,1012,429.0,121
1974,2002,250.0,4.844187086458591,7.097548850614793,1494,461.0,296
1993,1993,504.0,5.5254529391317835,7.116394144093465,2349,762.0,32
1992,1993,180.0,7.029972911706386,7.237778191923443,2225,713.0,198
2004,2005,0.0,7.1693500166706,7.305860032684009,1488,506.0,168
2004,2004,0.0,0.0,6.734591659972948,1680,588.0,0
2004,2004,120.0,5.638354669333745,6.398594934535208,1200,480.0,0
2004,2005,0.0,5.910796644040527,6.398594934535208,1200,480.0,0
2005,2005,216.0,5.932245187448011,6.398594934535208,1236,480.0,0
2000,2000,1159.0,6.1463292576688975,6.6293632534374485,1512,440.0,0
2003,2003,0.0,5.501258210544727,6.274762021241939,1080,496.0,0
2010,2010,0.0,6.940222469119639,7.404279118037268,1418,852.0,160
2000,2000,0.0,6.184148890937483,6.883462586413092,1848,592.0,280
2002,2002,0.0,6.726233402358747,7.30854279753919,1492,596.0,277
1967,1967,120.0,6.2285110035911835,7.512071245835466,1829,535.0,0
1993,1993,0.0,7.037027614686276,7.155396301896734,2495,660.0,224
1978,1978,0.0,6.5337888379333435,7.110696122978827,1891,678.0,0
1971,1971,0.0,5.799092654460526,6.573680166960646,1645,441.0,0
1966,1966,172.0,6.54965074223381,7.117205503164344,1232,490.0,0
1966,1966,0.0,6.966024187106113,7.098375638590786,1209,504.0,0
1967,1967,268.0,6.918695219020472,7.32052696227274,1510,517.0,0
1964,1964,0.0,0.0,6.280395838960195,1775,480.0,0
1962,2001,144.0,7.313886831633462,7.455298485683291,1728,0.0,0
1952,2002,265.0,6.508769136971682,7.039660349862076,2461,400.0,0
1949,1950,340.0,5.707110264748875,6.663132695990803,1556,470.0,0
1966,2008,216.0,6.851184927493743,6.985641817639208,1128,315.0,238
1958,1958,0.0,0.0,7.380879035564116,1604,576.0,42
2003,2009,506.0,7.080867896690782,7.300472814267799,1480,620.0,252
1959,1959,150.0,6.75343791859778,7.042286171939743,1143,308.0,0
1959,1959,91.0,6.842683282238422,7.095893221097532,1206,312.0,0
1959,1959,432.0,6.5998704992128365,7.126890808898808,1580,440.0,0
1956,1956,0.0,0.0,6.725033642166843,1337,263.0,0
1952,1952,0.0,5.8289456176102075,6.762729506931879,1064,318.0,0
1955,1955,0.0,6.47543271670409,6.880384082186005,972,305.0,0
1958,1958,0.0,6.278521424165844,6.8966943316227125,988,264.0,0
1920,1994,0.0,0.0,6.3578422665081,985,676.0,0
1948,2004,0.0,6.1779441140506,6.705639094860003,1224,280.0,414
1960,1960,0.0,6.3784261836515865,7.069874128458572,1175,484.0,0
1963,1984,218.0,6.576469569048224,7.241366283322318,1395,440.0,657
1900,1954,771.0,3.8918202981106265,6.565264970035361,1844,240.0,84
1920,1950,0.0,6.363028103540465,6.842683282238422,936,0.0,51
1957,1957,0.0,5.616771097666572,7.206377291472252,1347,551.0,0
1938,2000,0.0,0.0,6.71901315438526,1251,240.0,0
1948,2009,0.0,6.660575149839686,6.93537044601511,1633,240.0,0
1920,1962,0.0,5.176149732573829,6.9167150203536085,1245,315.0,0
1923,1970,0.0,0.0,6.520621127558696,832,780.0,0
1900,2003,0.0,0.0,6.836259277277067,1566,288.0,54
1890,2002,0.0,0.0,5.849324779946859,2268,624.0,0
1910,1950,0.0,0.0,6.734591659972948,2256,0.0,0
1922,1994,0.0,5.648974238161206,6.6052979209482015,1470,624.0,0
1950,1997,0.0,6.670766320845874,6.8966943316227125,1612,363.0,0
1922,2005,0.0,6.163314804034641,7.011213987350367,2068,315.0,0
1925,1950,0.0,5.241747015059643,6.641182169740591,765,200.0,135
1939,1950,0.0,6.115892125483034,6.411818267709897,1132,240.0,0
1940,1950,0.0,5.579729825986222,6.35088571671474,1196,576.0,0
1942,1950,300.0,5.8888779583328805,6.728628613084702,1453,240.0,0
1948,1950,0.0,5.707110264748875,6.660575149839686,1416,312.0,221
1936,1980,0.0,5.6240175061873385,6.270988431858299,1040,624.0,306
1930,1950,0.0,6.1070228877422545,6.834108738813838,1536,480.0,0
1923,1950,0.0,6.8679744089702925,7.025538314638521,1068,288.0,0
1915,1950,0.0,0.0,6.790097235513905,1962,572.0,160
1912,2009,0.0,0.0,6.660575149839686,1560,0.0,344
1920,1993,0.0,0.0,6.4967749901858625,1324,180.0,0
1959,1959,90.0,6.642486801367256,7.260522598089852,1675,365.0,0
1917,1950,0.0,0.0,6.536691597591305,1224,180.0,0
1915,1950,0.0,6.934397209928558,7.10085190894405,1392,0.0,0
1940,1950,0.0,5.910796644040527,6.398594934535208,919,231.0,0
1907,1950,0.0,4.30406509320417,6.56244409369372,1884,0.0,0
1910,1950,0.0,6.602587892189336,6.75343791859778,1680,450.0,56
1967,1967,72.0,6.558197802812269,7.513709247839705,1832,0.0,0
1966,2008,47.0,5.484796933490655,6.762729506931879,892,416.0,0
1968,1968,0.0,6.654152520183219,6.762729506931879,864,280.0,226
1978,1978,0.0,7.1853870155804165,7.1853870155804165,1373,591.0,0
1968,1968,0.0,5.5909869805108565,6.580639137284949,1440,480.0,192
1977,2001,0.0,6.996681488176539,7.259116128097101,1483,690.0,496
1927,1950,0.0,0.0,6.493753839851686,756,440.0,80
1978,1992,288.0,6.872128101338986,7.0192966537150445,1981,522.0,336
1938,1990,0.0,5.666426688112432,6.880384082186005,1610,480.0,0
1950,1987,0.0,4.653960350157523,6.498282149476434,1074,467.0,0
1947,1979,0.0,5.262690188904886,6.6293632534374485,1531,209.0,0
1954,1998,0.0,6.86171134048073,7.067319848653476,1172,366.0,240
2009,2010,96.0,7.205635176410364,7.319202458767849,1508,572.0,0
1964,1964,0.0,0.0,7.1316985104669115,1298,504.0,0
1987,1987,177.0,7.2682230211595655,7.2682230211595655,1433,528.0,0
1993,1993,85.0,6.7580945044277305,6.853299093186078,1802,1017.0,450
2010,2010,80.0,3.2188758248682006,7.109062135687172,1222,615.0,0
1900,1993,0.0,0.0,6.517671272912275,1445,484.0,0
1996,1996,0.0,6.769641976852503,6.769641976852503,965,580.0,71
1997,1998,0.0,5.869296913133774,6.778784897685177,1692,513.0,0
1977,2004,0.0,5.293304824724492,6.934397209928558,1026,308.0,316
1972,1972,0.0,6.175867270105761,6.776506992372183,876,484.0,0
2003,2003,320.0,7.428333194190806,7.590346945602565,1978,850.0,188
1997,1997,0.0,0.0,6.947937068614969,2098,621.0,331
